Hearts,King,Queen,Jack,Ten,Nine,Eight,Seven,Six,Five,Four,Three,Two,Ace
Diamonds,King,Queen,Jack,Ten,Nine,Eight,Seven,Six,Five,Four,Three,Two,Ace
Spades,King,Queen,Jack,Ten,Nine,Eight,Seven,Six,Five,Four,Three,Two,Ace
Clubs,King,Queen,Jack,Ten,Nine,Eight,Seven,Six,Five,Four,Three,Two,Ace
